Customer,48806,47106,47287,48020
XAX1,62,71,65,96
XAX10,51,20,50,80
XAX100,60,61,80,131
XAX1000,4,3,10,22
XAX1001,25,5,27,77
XAX1002,33,16,48,72
XAX1003,21,28,41,74
XAX1004,31,33,44,49
XAX1005,27,14,43,70
XAX1006,12,8,15,22
XAX1007,24,8,45,46
XAX1008,39,32,48,64
XAX1009,23,27,35,61
XAX101,39,32,84,97
XAX1010,6,5,14,33
XAX1011,34,36,44,88
XAX1012,25,45,39,86
XAX1013,10,3,23,29
XAX1014,53,33,68,115
XAX1015,20,37,26,82
XAX1016,13,13,16,48
XAX1017,12,6,23,37
XAX1018,10,4,15,19
XAX1019,37,41,54,57
XAX102,13,6,21,29
XAX1020,35,32,68,72
XAX1021,20,16,42,55
XAX1022,24,15,40,44
XAX1023,33,9,32,52
XAX1024,16,5,13,21
XAX1025,47,10,61,84
XAX1026,34,39,53,71
XAX1027,14,20,0,29
XAX1028,39,27,46,84
XAX1029,18,8,24,27
XAX103,59,65,84,168
XAX1030,17,26,43,37
XAX1032,57,38,65,88
XAX1033,38,26,50,72
XAX1034,32,18,35,30
XAX1035,26,10,20,41
XAX1036,33,17,51,57
XAX1037,39,24,58,72
XAX1038,19,11,25,41
XAX1039,22,21,41,71
XAX104,18,38,21,60
XAX1040,26,0,33,81
XAX1041,10,3,15,24
XAX1042,46,38,50,107
XAX1043,18,14,18,40
XAX1044,36,56,57,106
XAX1045,15,33,12,70
XAX1046,10,5,13,24
XAX1047,11,10,14,64
XAX1048,12,5,20,46
XAX105,31,19,44,55
XAX1051,24,7,35,59
XAX1052,12,14,19,28
XAX1053,36,21,26,100
XAX1054,17,17,23,41
XAX1055,21,21,50,86
XAX1056,13,22,40,92
XAX1057,10,6,14,18
XAX1058,29,25,28,55
XAX1059,13,5,12,35
XAX106,9,7,14,25
XAX1060,22,17,26,60
XAX1061,13,15,10,24
XAX1062,34,63,42,96
XAX1063,9,6,22,11
XAX1064,13,7,16,41
XAX1065,25,11,33,53
XAX1066,33,21,50,98
XAX1067,3,4,12,12
XAX1068,22,17,16,32
XAX1069,7,4,12,20
XAX107,20,15,16,63
XAX1070,21,12,18,62
XAX1071,25,18,39,89
XAX1072,24,1,27,56
XAX1073,35,18,38,43
XAX1074,28,20,24,52
XAX1075,78,59,79,128
XAX1076,26,18,25,66
XAX1077,23,6,23,41
XAX1078,11,7,8,25
XAX1079,17,11,24,6
XAX108,25,25,29,57
XAX1080,29,14,27,54
XAX1081,45,16,35,64
XAX1082,20,17,5,36
XAX1083,26,13,40,82
XAX1084,16,8,17,24
XAX1085,34,34,35,52
XAX1086,39,28,36,74
XAX1087,33,18,37,64
XAX1088,28,65,36,55
XAX1089,26,12,39,62
XAX109,17,54,42,51
XAX1090,3,19,32,38
XAX1091,24,11,23,50
XAX1092,0,0,0,32
XAX1093,19,13,28,45
XAX1094,54,9,58,146
XAX1095,20,21,15,56
XAX1096,35,18,38,63
XAX1097,16,27,25,51
XAX1098,19,17,20,37
XAX1099,30,28,35,46
XAX11,33,19,64,73
XAX110,11,10,14,25
XAX1100,8,4,13,28
XAX1101,25,1,36,60
XAX1102,14,13,18,47
XAX1103,27,39,27,70
XAX1104,37,49,36,67
XAX1105,35,21,57,80
XAX1106,11,11,12,27
