Customer,48806,47106,47287,48020,48863,50546,51675
XAX1,62,71,65,96,48,69,48
XAX10,51,20,50,80,52,37,52
XAX100,60,61,80,131,55,29,55
XAX1000,4,3,10,22,2,4,2
XAX1001,25,5,27,77,14,45,14
XAX1002,33,16,48,72,30,24,30
XAX1003,21,28,41,74,37,24,37
XAX1004,31,33,44,49,32,39,32
XAX1005,27,14,43,70,33,35,33
XAX1006,12,8,15,22,11,5,11
XAX1007,24,8,45,46,27,17,27
XAX1008,39,32,48,64,29,50,29
XAX1009,23,27,35,61,23,6,23
XAX101,39,32,84,97,41,36,41
XAX1010,6,5,14,33,9,24,9
XAX1011,34,36,44,88,24,9,24
XAX1012,25,45,39,86,41,16,41
XAX1013,10,3,23,29,9,8,9
XAX1014,53,33,68,115,47,21,47
XAX1015,20,37,26,82,21,50,21
XAX1016,13,13,16,48,9,9,9
XAX1017,12,6,23,37,10,5,10
XAX1018,10,4,15,19,8,7,8
XAX1019,37,41,54,57,41,45,41
XAX102,13,6,21,29,10,7,10
XAX1020,35,32,68,72,41,14,41
XAX1021,20,16,42,55,28,20,28
XAX1022,24,15,40,44,7,13,7
XAX1023,33,9,32,52,24,15,24
XAX1024,16,5,13,21,9,5,9
XAX1025,47,10,61,84,35,31,35
XAX1026,34,39,53,71,30,13,30
XAX1027,14,20,0,29,12,12,12
XAX1028,39,27,46,84,43,43,43
XAX1029,18,8,24,27,15,9,15
XAX103,59,65,84,168,48,38,48
XAX1030,17,26,43,37,28,27,28
XAX1032,57,38,65,88,36,41,36
XAX1033,38,26,50,72,36,24,36
XAX1034,32,18,35,30,21,13,21
XAX1035,26,10,20,41,19,20,19
XAX1036,33,17,51,57,44,16,44
XAX1037,39,24,58,72,37,39,37
XAX1038,19,11,25,41,18,8,18
XAX1039,22,21,41,71,27,17,27
XAX104,18,38,21,60,18,17,18
XAX1040,26,0,33,81,23,40,23
XAX1041,10,3,15,24,16,5,16
XAX1042,46,38,50,107,35,75,35
XAX1043,18,14,18,40,13,9,13
XAX1044,36,56,57,106,31,70,31
XAX1045,15,33,12,70,17,17,17
XAX1046,10,5,13,24,10,3,10
XAX1047,11,10,14,64,14,7,14
XAX1048,12,5,20,46,14,6,14
XAX105,31,19,44,55,24,16,24
XAX1051,24,7,35,59,22,29,22
XAX1052,12,14,19,28,13,3,13
XAX1053,36,21,26,100,22,20,22
XAX1054,17,17,23,41,14,5,14
XAX1055,21,21,50,86,32,34,32
XAX1056,13,22,40,92,12,29,12
XAX1057,10,6,14,18,7,6,7
XAX1058,29,25,28,55,24,45,24
XAX1059,13,5,12,35,15,4,15
XAX106,9,7,14,25,7,1,7
XAX1060,22,17,26,60,21,6,21
XAX1061,13,15,10,24,12,7,12
XAX1062,34,63,42,96,20,87,20
XAX1063,9,6,22,11,10,5,10
XAX1064,13,7,16,41,10,19,10
XAX1065,25,11,33,53,19,17,19
XAX1066,33,21,50,98,26,23,26
XAX1067,3,4,12,12,7,4,7
XAX1068,22,17,16,32,12,9,12
XAX1069,7,4,12,20,7,4,7
XAX107,20,15,16,63,16,34,16
XAX1070,21,12,18,62,13,61,13
XAX1071,25,18,39,89,37,30,37
XAX1072,24,1,27,56,18,22,18
XAX1073,35,18,38,43,31,29,31
XAX1074,28,20,24,52,17,12,17
XAX1075,78,59,79,128,80,30,80
XAX1076,26,18,25,66,14,9,14
XAX1077,23,6,23,41,15,59,15
XAX1078,11,7,8,25,8,5,8
XAX1079,17,11,24,6,16,22,16
XAX108,25,25,29,57,21,5,21
XAX1080,29,14,27,54,30,32,30
XAX1081,45,16,35,64,17,27,17
XAX1082,20,17,5,36,8,42,8
XAX1083,26,13,40,82,26,26,26
XAX1084,16,8,17,24,9,4,9
XAX1085,34,34,35,52,24,55,24
XAX1086,39,28,36,74,26,64,26
XAX1087,33,18,37,64,25,29,25
XAX1088,28,65,36,55,35,19,35
XAX1089,26,12,39,62,12,39,12
XAX109,17,54,42,51,26,4,26
XAX1090,3,19,32,38,19,7,19
XAX1091,24,11,23,50,6,10,6
XAX1092,0,0,0,32,0,0,0
XAX1093,19,13,28,45,17,11,17
XAX1094,54,9,58,146,34,26,34
XAX1095,20,21,15,56,15,5,15
XAX1096,35,18,38,63,20,24,20
XAX1097,16,27,25,51,8,1,8
XAX1098,19,17,20,37,18,12,18
XAX1099,30,28,35,46,31,13,31
XAX11,33,19,64,73,43,43,43
XAX110,11,10,14,25,5,8,5
XAX1100,8,4,13,28,14,6,14
XAX1101,25,1,36,60,24,37,24
XAX1102,14,13,18,47,10,7,10
XAX1103,27,39,27,70,18,17,18
XAX1104,37,49,36,67,31,49,31
XAX1105,35,21,57,80,22,18,22
XAX1106,11,11,12,27,9,6,9
XAX1107,13,10,11,26,13,4,13
XAX1108,7,10,16,32,4,3,4
XAX1109,15,11,22,30,7,6,7
XAX111,24,15,18,46,13,52,13
XAX1110,12,7,21,32,13,5,13
XAX1111,15,13,20,43,17,9,17
XAX1112,19,13,38,52,22,12,22
XAX1113,24,13,38,67,27,61,27
XAX1114,6,11,12,23,6,2,6
XAX1115,23,10,34,39,9,6,9
XAX1116,51,37,71,124,34,30,34
XAX1117,21,9,18,48,20,33,20
XAX1118,36,17,23,55,29,18,29
XAX1119,10,7,12,10,4,3,4
XAX112,24,10,30,68,17,26,17
XAX1120,32,24,44,72,34,27,34
XAX1121,20,10,24,64,16,12,16
XAX1122,21,6,20,34,12,20,12
XAX1123,13,37,65,78,38,10,38
XAX1124,16,9,20,48,15,9,15
XAX1125,37,30,47,63,27,22,27
XAX1126,33,34,29,83,21,12,21
XAX1127,3,3,11,30,4,2,4
XAX1128,17,5,22,26,13,6,13
XAX1129,35,20,35,53,20,14,20
XAX113,32,33,40,79,22,10,22
XAX1130,12,9,14,29,11,0,11
XAX1131,8,12,21,33,9,6,9
XAX1132,22,7,28,62,20,15,20
XAX1133,15,6,24,50,19,12,19
XAX1134,31,14,44,56,28,30,28
XAX1135,20,19,33,38,13,15,13
XAX1136,13,19,30,81,16,21,16
XAX1137,15,31,42,53,20,69,20
XAX1138,10,10,14,15,6,8,6
XAX1139,29,26,28,52,20,23,20
XAX114,11,0,24,28,15,38,15
XAX1140,20,6,46,53,30,21,30
XAX1141,37,44,41,78,35,33,35
XAX1142,21,19,33,49,23,15,23
XAX1143,6,8,7,20,10,3,10
XAX1144,20,26,34,28,20,85,20
XAX1146,28,35,41,58,32,17,32
XAX1147,13,15,16,22,13,4,13
XAX1148,57,40,66,128,43,42,43
XAX1149,44,50,54,119,47,36,47
XAX115,8,2,11,17,5,3,5
XAX1150,35,29,26,100,12,28,12
XAX1151,50,34,48,120,34,22,34
XAX1152,22,24,34,74,23,20,23
XAX1153,19,9,14,45,15,7,15
XAX1154,12,21,12,49,12,15,12
XAX1155,25,17,25,56,18,42,18
XAX1156,29,19,42,74,19,30,19
XAX1157,22,12,23,27,4,6,4
XAX1158,22,6,25,39,12,8,12
XAX1159,5,4,12,15,6,1,6
XAX116,2,6,15,18,3,4,3
XAX1160,37,37,58,82,39,37,39
XAX1161,35,16,47,94,34,72,34
XAX1162,26,19,35,45,19,6,19
XAX1163,10,7,29,29,17,6,17
XAX1164,20,28,19,48,14,25,14
XAX1165,56,55,94,91,60,40,60
XAX1166,4,1,8,13,1,1,1
XAX1167,23,21,29,43,24,24,24
XAX1168,27,21,60,64,26,20,26
XAX1169,9,11,20,23,13,14,13
XAX117,4,6,8,23,9,6,9
XAX1170,21,23,30,43,22,8,22
XAX1171,17,5,4,48,12,10,12
XAX1172,26,88,36,62,22,26,22
XAX1173,17,4,19,29,9,13,9
XAX1174,10,12,17,17,10,3,10
XAX1175,26,19,38,78,26,11,26
XAX1176,10,28,22,24,10,21,10
XAX1177,24,21,28,43,16,12,16
XAX1178,37,27,32,84,10,29,10
XAX1179,22,3,36,47,12,19,12
XAX118,11,13,23,36,11,7,11
XAX1180,32,34,63,82,36,22,36
XAX1181,18,35,13,73,10,0,10
XAX1182,27,37,37,70,19,15,19
XAX1183,25,59,51,63,41,67,41
XAX1184,26,22,16,75,15,17,15
XAX1185,18,8,43,46,29,58,29
XAX1186,54,63,77,125,41,59,41
XAX1187,24,22,25,42,16,3,16
XAX1188,36,15,52,56,29,11,29
XAX1189,3,1,7,8,9,2,9
XAX119,57,30,74,58,54,33,54
XAX1190,21,10,20,49,18,8,18
XAX1191,15,11,17,43,8,7,8
XAX1192,20,13,20,53,14,9,14
XAX1193,15,7,15,43,8,7,8
XAX1194,35,14,43,70,26,37,26
XAX1195,30,22,42,65,25,47,25
XAX1196,10,9,8,29,12,2,12
