Customer,48806,47106,47287
XAX1,62,71,65
XAX10,51,20,50
XAX100,60,61,80
XAX1000,4,3,10
XAX1001,25,5,27
XAX1002,33,16,48
XAX1003,21,28,41
XAX1004,31,33,44
XAX1005,27,14,43
XAX1006,12,8,15
XAX1007,24,8,45
XAX1008,39,32,48
XAX1009,23,27,35
XAX101,39,32,84
XAX1010,6,5,14
XAX1011,34,36,44
XAX1012,25,45,39
XAX1013,10,3,23
XAX1014,53,33,68
XAX1015,20,37,26
XAX1016,13,13,16
XAX1017,12,6,23
XAX1018,10,4,15
XAX1019,37,41,54
XAX102,13,6,21
XAX1020,35,32,68
XAX1021,20,16,42
XAX1022,24,15,40
XAX1023,33,9,32
XAX1024,16,5,13
XAX1025,47,10,61
XAX1026,34,39,53
XAX1027,14,20,0
XAX1028,39,27,46
XAX1029,18,8,24
XAX103,59,65,84
XAX1030,17,26,43
XAX1032,57,38,65
XAX1033,38,26,50
XAX1034,32,18,35
XAX1035,26,10,20
XAX1036,33,17,51
XAX1037,39,24,58
XAX1038,19,11,25
XAX1039,22,21,41
XAX104,18,38,21
XAX1040,26,0,33
XAX1041,10,3,15
XAX1042,46,38,50
XAX1043,18,14,18
XAX1044,36,56,57
XAX1045,15,33,12
XAX1046,10,5,13
XAX1047,11,10,14
XAX1048,12,5,20
XAX105,31,19,44
XAX1051,24,7,35
XAX1052,12,14,19
XAX1053,36,21,26
XAX1054,17,17,23
XAX1055,21,21,50
XAX1056,13,22,40
XAX1057,10,6,14
XAX1058,29,25,28
XAX1059,13,5,12
XAX106,9,7,14
XAX1060,22,17,26
XAX1061,13,15,10
XAX1062,34,63,42
XAX1063,9,6,22
XAX1064,13,7,16
XAX1065,25,11,33
XAX1066,33,21,50
XAX1067,3,4,12
XAX1068,22,17,16
XAX1069,7,4,12
XAX107,20,15,16
XAX1070,21,12,18
XAX1071,25,18,39
XAX1072,24,1,27
XAX1073,35,18,38
XAX1074,28,20,24
XAX1075,78,59,79
XAX1076,26,18,25
XAX1077,23,6,23
XAX1078,11,7,8
XAX1079,17,11,24
XAX108,25,25,29
XAX1080,29,14,27
XAX1081,45,16,35
XAX1082,20,17,5
XAX1083,26,13,40
XAX1084,16,8,17
XAX1085,34,34,35
XAX1086,39,28,36
XAX1087,33,18,37
XAX1088,28,65,36
XAX1089,26,12,39
XAX109,17,54,42
XAX1090,3,19,32
XAX1091,24,11,23
XAX1092,0,0,0
XAX1093,19,13,28
XAX1094,54,9,58
XAX1095,20,21,15
XAX1096,35,18,38
XAX1097,16,27,25
XAX1098,19,17,20
XAX1099,30,28,35
XAX11,33,19,64
XAX110,11,10,14
XAX1100,8,4,13
XAX1101,25,1,36
XAX1102,14,13,18
XAX1103,27,39,27
XAX1104,37,49,36
XAX1105,35,21,57
XAX1106,11,11,12
XAX1107,13,10,11
XAX1108,7,10,16
XAX1109,15,11,22
XAX111,24,15,18
XAX1110,12,7,21
XAX1111,15,13,20
XAX1112,19,13,38
XAX1113,24,13,38
XAX1114,6,11,12
XAX1115,23,10,34
XAX1116,51,37,71
XAX1117,21,9,18
XAX1118,36,17,23
XAX1119,10,7,12
XAX112,24,10,30
XAX1120,32,24,44
XAX1121,20,10,24
XAX1122,21,6,20
XAX1123,13,37,65
XAX1124,16,9,20
XAX1125,37,30,47
XAX1126,33,34,29
